
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Hillingdon 018E","E01002427",5.6,5.4
"Hillingdon 018F","E01002428",5.3,6.0
"Hillingdon 019A","E01002408",4.9,7.2
"Hillingdon 019B","E01002409",5.2,5.7
"Hillingdon 019C","E01002429",6.6,6.7
"Hillingdon 019D","E01002455",4.3,5.5
"Hillingdon 019E","E01002457",5.0,8.8
"Hillingdon 020A","E01002392",5.8,6.2
"Hillingdon 020B","E01002393",4.8,6.0
"Hillingdon 020C","E01002540",5.3,4.8
"Hillingdon 020D","E01002542",4.1,5.5
"Hillingdon 020E","E01002543",5.7,5.8
"Hillingdon 021A","E01002394",5.6,6.3
"Hillingdon 021B","E01002395",5.3,6.2
"Hillingdon 021C","E01002397",9.4,7.0
"Hillingdon 021D","E01002398",4.4,7.2
"Hillingdon 021E","E01002399",4.1,5.2
"Hillingdon 021F","E01002426",4.9,7.6
"Hillingdon 022A","E01002411",5.1,13.4
"Hillingdon 022B","E01002413",4.2,6.8
"Hillingdon 022C","E01002518",5.1,10.1
"Hillingdon 022D","E01002519",3.1,7.9
"Hillingdon 022E","E01002550",4.1,6.3
"Hillingdon 022G","E01034608",3.8,6.3
"Hillingdon 022H","E01034609",3.5,6.5
"Hillingdon 023A","E01002541",4.6,5.5
"Hillingdon 023B","E01002544",4.3,6.0
"Hillingdon 023C","E01002545",6.1,6.1
"Hillingdon 023D","E01002546",5.9,7.3
"Hillingdon 023E","E01002547",5.2,6.2
"Hillingdon 024A","E01002400",4.8,5.6
"Hillingdon 024B","E01002401",4.7,5.0
"Hillingdon 024C","E01002402",6.6,6.3
"Hillingdon 024D","E01002403",5.8,7.0
"Hillingdon 024E","E01002404",5.9,6.1
"Hillingdon 025A","E01002548",3.5,5.3
"Hillingdon 025B","E01002549",4.4,5.3
"Hillingdon 025C","E01002551",11.1,7.6
"Hillingdon 025D","E01002552",5.9,6.1
"Hillingdon 025E","E01002553",6.1,7.2
"Hillingdon 026A","E01002396",4.8,7.2
"Hillingdon 026B","E01002501",6.3,7.8
"Hillingdon 026C","E01002502",6.0,8.0
"Hillingdon 026D","E01002505",4.7,5.2
"Hillingdon 026E","E01002508",5.6,6.3
"Hillingdon 027A","E01002405",4.9,5.9
"Hillingdon 027C","E01002503",6.0,7.2
"Hillingdon 027E","E01002506",4.4,6.1
"Hillingdon 027F","E01002507",5.0,8.1
"Hillingdon 027G","E01034610",4.7,4.7
"Hillingdon 027H","E01034611",3.4,3.5
"Hillingdon 027I","E01034612",5.6,7.7
"Hillingdon 027J","E01034613",2.8,9.8
"Hillingdon 028A","E01002486",7.0,6.7
"Hillingdon 028B","E01002487",5.2,6.3
"Hillingdon 028C","E01002526",4.4,5.9
"Hillingdon 028D","E01002528",5.8,7.7
"Hillingdon 028F","E01034614",3.7,5.0
"Hillingdon 028G","E01034615",5.2,6.0
"Hillingdon 029A","E01002445",5.7,5.8
"Hillingdon 029B","E01002525",2.5,4.3
"Hillingdon 029C","E01002529",4.4,5.9
"Hillingdon 029D","E01002530",5.1,7.8
"Hillingdon 029E","E01002531",3.1,5.6
"Hillingdon 030B","E01002488",4.8,7.5
"Hillingdon 030C","E01002489",5.4,7.8
"Hillingdon 030D","E01002490",6.4,6.0
"Hillingdon 030E","E01002492",4.6,7.7
"Hillingdon 030F","E01034616",3.2,8.6
"Hillingdon 030G","E01034617",4.4,7.4
"Hillingdon 031A","E01002444",3.9,6.0
"Hillingdon 031B","E01002446",3.0,5.9
"Hillingdon 031C","E01002447",3.6,7.5
"Hillingdon 031D","E01002527",3.7,5.5
"Hillingdon 032A","E01002443",3.9,6.3
"Hillingdon 032B","E01002448",4.0,4.9
"Hillingdon 032C","E01002449",3.8,5.3
"Hillingdon 032D","E01002491",5.0,7.7
"Hillingdon 032E","E01002493",5.1,4.7
"Hillingdon 033A","E01002496",3.6,4.2
"Hillingdon 033B","E01002497",3.1,4.9
"Hillingdon 033C","E01002498",4.5,4.6
"Hillingdon 033D","E01002499",3.8,8.5
"Hillingdon 033E","E01032577",5.8,5.4
"Hounslow 001A","E01002569",2.9,2.8
"Hounslow 001B","E01002570",3.4,5.2
"Hounslow 001C","E01002573",5.0,5.7
"Hounslow 001D","E01002574",3.7,8.1
"Hounslow 001E","E01002575",4.4,5.4
"Hounslow 004A","E01002620",4.4,6.0
"Hounslow 004B","E01002625",5.5,6.7
"Hounslow 004C","E01002626",5.5,5.8
"Hounslow 004D","E01002627",4.7,5.7
"Hounslow 004E","E01002631",4.4,6.4
"Hounslow 005A","E01002633",6.7,7.4
"Hounslow 005B","E01002634",6.0,6.5
"Hounslow 005C","E01002637",4.1,5.7
"Hounslow 005D","E01002638",6.2,7.5
"Hounslow 006A","E01002563",4.4,6.0
"Hounslow 006B","E01002565",3.1,5.8
"Hounslow 006C","E01002567",2.5,3.9
"Hounslow 006E","E01002686",5.4,6.4
"Hounslow 006G","E01034032",4.4,5.4
"Hounslow 006H","E01034033",2.0,4.6
"Hounslow 007A","E01002571",2.7,3.2
"Hounslow 007B","E01002572",4.4,6.5
"Hounslow 007C","E01002577",3.4,5.3
"Hounslow 007D","E01002578",5.4,4.2
"Hounslow 007E","E01002689",3.3,4.4
"Hounslow 007F","E01002690",4.6,5.9
"Hounslow 008A","E01002576",5.6,5.0
"Hounslow 008B","E01002579",3.5,3.7
"Hounslow 008C","E01002580",3.1,4.0
"Hounslow 008D","E01002581",2.9,4.6
"Hounslow 008E","E01002582",3.1,4.2
"Hounslow 009A","E01002675",5.1,6.0
"Hounslow 009B","E01002678",4.6,6.0
"Hounslow 009C","E01002679",3.4,5.4
"Hounslow 009D","E01002680",3.9,4.2
"Hounslow 010A","E01002619",3.6,5.6
"Hounslow 010B","E01002622",4.6,6.1
"Hounslow 010C","E01002632",4.6,6.6
"Hounslow 010D","E01002635",4.4,6.6
"Hounslow 010E","E01002636",4.5,6.4
"Hounslow 011A","E01002618",5.6,7.1
"Hounslow 011B","E01002621",4.4,5.6
"Hounslow 011C","E01002623",4.5,6.5
"Hounslow 011D","E01002628",8.3,5.4
"Hounslow 011E","E01002629",4.0,5.8
"Hounslow 012A","E01002630",3.5,11.8
"Hounslow 012B","E01002639",3.3,6.8
"Hounslow 012C","E01002640",3.7,6.8
"Hounslow 012D","E01002674",3.6,4.3
"Hounslow 012E","E01002676",3.3,5.6
"Hounslow 013A","E01002583",5.0,5.6
"Hounslow 013B","E01002584",4.1,5.7
"Hounslow 013C","E01002585",4.3,8.1
"Hounslow 013D","E01002586",4.1,6.2
"Hounslow 013E","E01002589",4.9,7.2
"Hounslow 014A","E01002668",3.7,4.7
"Hounslow 014B","E01002669",6.2,6.5
"Hounslow 014C","E01002681",4.4,7.5
"Hounslow 014D","E01002682",4.2,4.7
"Hounslow 014F","E01034034",3.2,5.3
"Hounslow 014G","E01034035",3.8,2.0
"Hounslow 015B","E01002643",4.2,5.7
"Hounslow 015C","E01002645",3.3,6.0
"Hounslow 015D","E01002658",3.5,4.9
"Hounslow 015E","E01002677",4.4,5.0
"Hounslow 015F","E01034036",3.0,7.5
"Hounslow 015G","E01034037",4.0,4.8
"Hounslow 016A","E01002587",4.3,5.5
"Hounslow 016B","E01002588",5.2,5.5
"Hounslow 016C","E01002660",4.8,6.6
"Hounslow 016D","E01002661",3.6,4.9
"Hounslow 016E","E01002665",5.7,5.6
"Hounslow 017A","E01002624",5.8,6.6
"Hounslow 017B","E01002646",5.5,6.5
"Hounslow 017C","E01002662",3.2,6.1
"Hounslow 017D","E01002663",4.0,8.0
"Hounslow 017F","E01034038",4.9,4.9
"Hounslow 017G","E01034039",3.7,4.3
"Hounslow 018A","E01002641",3.6,5.8
"Hounslow 018D","E01002649",4.0,4.7
"Hounslow 018E","E01002657",4.7,5.1
"Hounslow 018F","E01033083",2.7,4.3
"Hounslow 018G","E01033084",3.7,4.2
"Hounslow 018H","E01034040",4.1,5.6
"Hounslow 018I","E01034041",4.8,5.7
"Hounslow 019A","E01002653",5.1,7.1
"Hounslow 019B","E01002654",4.6,4.6
"Hounslow 019C","E01002655",4.3,6.0
"Hounslow 019D","E01002656",4.2,4.9
"Hounslow 019E","E01002659",3.7,3.8
"Hounslow 020A","E01002667",4.0,4.3
"Hounslow 020B","E01002670",3.8,3.6
"Hounslow 020C","E01002671",5.0,4.5
"Hounslow 020D","E01002672",6.0,5.7
"Hounslow 020E","E01002673",7.4,5.1
"Hounslow 021A","E01002647",4.7,5.6
"Hounslow 021B","E01002650",4.2,5.5
"Hounslow 021C","E01002651",6.5,6.1
"Hounslow 021D","E01002652",5.4,5.9
"Hounslow 021E","E01002666",3.9,9.8
"Hounslow 022A","E01002555",4.8,6.4
"Hounslow 022B","E01002556",3.5,7.2
"Hounslow 022C","E01002590",3.9,4.6
"Hounslow 022D","E01002592",3.7,4.8
"Hounslow 022E","E01002595",4.7,6.9
"Hounslow 023A","E01002557",3.6,4.9
"Hounslow 023B","E01002558",5.3,5.7
"Hounslow 023C","E01002559",4.9,6.1
"Hounslow 023D","E01002560",4.3,6.9
"Hounslow 023E","E01002561",4.6,5.7
"Hounslow 024A","E01002591",5.2,7.2
"Hounslow 024B","E01002593",4.1,6.1
"Hounslow 024C","E01002594",4.5,5.2
"Hounslow 024D","E01002611",7.8,5.8
"Hounslow 024E","E01002612",3.5,5.6
"Hounslow 024F","E01002613",6.1,6.6
"Hounslow 025B","E01002598",4.2,6.4
"Hounslow 025C","E01002599",5.2,5.3
"Hounslow 025D","E01002600",6.3,7.6
"Hounslow 025E","E01002603",5.2,7.3
"Hounslow 025F","E01033000",6.0,6.1
"Hounslow 025G","E01033030",1.9,3.2
"Hounslow 026A","E01002604",5.4,7.4
"Hounslow 026B","E01002605",4.2,5.3
"Hounslow 026C","E01002606",5.6,7.2
"Hounslow 026D","E01002607",4.9,5.2
"Hounslow 026E","E01002615",4.9,5.5
"Hounslow 027A","E01002596",9.4,10.4
"Hounslow 027B","E01002601",4.5,6.3
"Hounslow 027C","E01002602",4.0,5.6
"Hounslow 027D","E01002614",2.9,4.5
"Hounslow 027E","E01002616",5.5,4.9
"Hounslow 028A","E01002608",5.1,6.2
"Hounslow 028B","E01002609",3.8,5.1
"Hounslow 028C","E01002610",4.5,5.2
"Hounslow 028D","E01002617",3.1,5.0
"Hounslow 029A","E01002687",3.1,4.4
"Hounslow 029B","E01002691",5.6,12.3
"Hounslow 029C","E01002692",2.5,7.1
"Hounslow 029D","E01002693",2.9,5.5
"Hounslow 029E","E01032573",2.9,5.2
"Hounslow 030D","E01002562",5.4,7.3
"Hounslow 030A","E01034042",2.6,8.0
"Hounslow 030B","E01034043",2.9,6.7
"Hounslow 030C","E01034044",2.6,5.4
"Hounslow 031E","E01002564",4.2,6.7
"Hounslow 031D","E01033081",2.9,3.9
"Hounslow 031C","E01033082",2.8,3.1
"Hounslow 031A","E01034045",4.3,4.7
"Hounslow 031B","E01034046",5.1,5.9
"Islington 001A","E01002755",3.6,5.3
"Islington 001B","E01002756",2.6,5.8
"Islington 001C","E01002758",5.1,6.1
"Islington 001D","E01002804",4.2,8.7
"Islington 001E","E01002807",4.0,9.8
"Islington 001F","E01002811",4.1,6.4
"Islington 002A","E01002753",3.4,9.5
"Islington 002B","E01002754",3.7,7.7
"Islington 002C","E01002757",4.3,5.7
"Islington 002D","E01002759",3.7,7.8
"Islington 002E","E01002760",4.6,7.9
"Islington 002F","E01002772",2.7,9.8
"Islington 003A","E01002735",9.4,11.6
"Islington 003B","E01002805",1.3,7.0
"Islington 003C","E01002806",2.6,6.1
"Islington 003D","E01002808",2.4,9.4
"Islington 003E","E01002809",2.6,8.5
"Islington 003F","E01002810",2.6,6.4
"Islington 004A","E01002768",1.9,6.5
"Islington 004B","E01002770",2.5,8.7
"Islington 004C","E01002771",3.3,10.7
"Islington 004D","E01002773",5.0,6.9
"Islington 004E","E01002774",2.4,6.8
"Islington 005A","E01002732",3.5,9.3
"Islington 005B","E01002734",5.7,11.3
"Islington 005C","E01002736",4.9,7.9
"Islington 005D","E01002737",4.9,8.3
"Islington 005E","E01002751",2.4,6.3
"Islington 006A","E01002742",5.8,8.7
"Islington 006B","E01002747",2.8,6.9
"Islington 006C","E01002748",3.6,5.8
"Islington 006D","E01002749",4.7,4.8
"Islington 006F","E01033493",0.9,3.2
"Islington 006G","E01033494",3.1,4.2
"Islington 007A","E01002730",3.0,12.9
"Islington 007C","E01002733",1.8,7.4
"Islington 007D","E01002763",3.2,13.1
"Islington 007E","E01035651",3.3,7.9
"Islington 007F","E01035652",2.0,12.6
"Islington 008A","E01002769",8.1,9.1
"Islington 008B","E01002785",4.2,7.1
"Islington 008C","E01002788",2.4,4.8
"Islington 008D","E01002789",3.0,4.2
"Islington 009A","E01002738",3.7,5.9
"Islington 009B","E01002741",4.4,6.8
"Islington 009C","E01002743",3.5,3.7
"Islington 009D","E01002744",2.2,3.6
"Islington 009E","E01002752",4.3,6.6
"Islington 010A","E01002764",4.1,10.8
"Islington 010B","E01002783",3.6,10.0
"Islington 010C","E01002784",4.6,8.7
"Islington 010D","E01002786",4.0,8.8
"Islington 010E","E01002787",4.2,9.0
"Islington 011C","E01002762",2.5,11.6
"Islington 011D","E01002767",5.8,9.4
"Islington 011E","E01033486",5.3,12.6
"Islington 011F","E01033487",1.9,8.0
"Islington 011G","E01033488",5.0,18.2
"Islington 011H","E01033491",2.4,8.9
"Islington 011J","E01035653",1.3,5.2
"Islington 011K","E01035654",3.4,4.1
"Islington 012A","E01002777",2.8,5.2
"Islington 012B","E01002778",7.0,8.5
"Islington 012C","E01002779",3.4,10.7
"Islington 012D","E01002781",3.3,5.0
"Islington 012E","E01002782",6.6,7.9
"Islington 013A","E01002739",2.6,4.8
"Islington 013B","E01002740",2.6,5.4
"Islington 013C","E01002745",2.6,5.2
"Islington 013D","E01002795",3.4,10.1
"Islington 013E","E01002796",2.7,5.9
"Islington 014A","E01002716",4.4,7.2
"Islington 014B","E01002718",1.9,4.4
"Islington 014C","E01002721",2.1,4.4
"Islington 014D","E01002775",1.9,6.7
"Islington 014E","E01002776",3.5,5.0
"Islington 014F","E01002780",2.6,5.3
"Islington 015A","E01002708",3.6,9.1
"Islington 015B","E01002712",2.4,9.9
"Islington 015C","E01002713",3.5,13.8
"Islington 015D","E01002765",10.1,14.1
"Islington 015E","E01002766",4.1,10.6
"Islington 016A","E01002717",2.6,5.9
"Islington 016B","E01002719",2.4,4.1
"Islington 016C","E01002720",4.5,6.1
"Islington 016D","E01002790",3.9,7.9
"Islington 016E","E01002791",2.5,6.9
"Islington 016F","E01002793",4.0,6.8
"Islington 017A","E01002698",2.8,4.4
"Islington 017B","E01002699",2.3,5.9
"Islington 017C","E01002700",3.5,4.7
"Islington 017D","E01002714",3.2,8.0
"Islington 017E","E01002792",2.3,6.4
"Islington 018A","E01002722",3.4,5.1
"Islington 018B","E01002797",3.7,6.9
"Islington 018C","E01002798",2.8,4.1
"Islington 018D","E01002799",4.6,9.0
"Islington 018E","E01002800",5.8,6.9
"Islington 019A","E01002694",4.2,12.1
"Islington 019B","E01002697",4.2,12.9
"Islington 019C","E01002709",4.3,13.8
"Islington 019D","E01002710",6.4,11.9
"Islington 019E","E01002715",5.0,9.9
"Islington 020A","E01002696",2.7,7.9
"Islington 020B","E01002794",2.0,7.3
"Islington 020C","E01002801",1.3,5.7
"Islington 020D","E01002802",3.5,8.8
"Islington 020F","E01035655",3.0,7.3
"Islington 020G","E01035656",10.0,9.2
"Islington 021A","E01002695",1.8,9.3
"Islington 021B","E01002711",6.7,16.9
"Islington 021C","E01002727",2.6,7.0
"Islington 021D","E01002728",17.3,16.0
"Islington 021E","E01002729",3.1,9.1
"Islington 022B","E01002707",3.8,11.1
"Islington 022C","E01002723",8.6,10.9
"Islington 022D","E01002724",7.9,13.3
"Islington 022E","E01002725",8.6,8.6
"Islington 022F","E01002726",3.0,9.9
"Islington 022G","E01033489",4.1,20.6
"Islington 022H","E01033490",9.1,16.4
"Islington 023A","E01002701",3.7,10.4
"Islington 023B","E01002702",6.4,12.3
"Islington 023C","E01002703",3.3,10.9
"Islington 023D","E01002704",7.3,11.0
"Islington 023E","E01002706",5.0,11.2
"Kensington and Chelsea 001A","E01002852",6.7,16.9
"Kensington and Chelsea 001B","E01002853",6.4,14.3
"Kensington and Chelsea 001C","E01002854",4.3,8.1
"Kensington and Chelsea 001D","E01002855",3.3,6.0
"Kensington and Chelsea 001E","E01002857",5.2,6.2
"Kensington and Chelsea 002A","E01002904",5.9,7.3
"Kensington and Chelsea 002B","E01002905",7.7,5.4
"Kensington and Chelsea 002C","E01002906",4.8,6.2
"Kensington and Chelsea 002D","E01002907",8.6,5.7
"Kensington and Chelsea 003A","E01002876",3.7,4.5
"Kensington and Chelsea 003B","E01002877",7.4,8.3
"Kensington and Chelsea 003C","E01002878",4.4,7.1
"Kensington and Chelsea 003D","E01002908",5.1,6.2
"Kensington and Chelsea 003E","E01002909",2.5,5.3
"Kensington and Chelsea 004A","E01002829",2.7,6.1
"Kensington and Chelsea 004B","E01002830",2.6,4.4
"Kensington and Chelsea 004C","E01002831",3.8,7.1
"Kensington and Chelsea 004D","E01002832",3.7,7.0
"Kensington and Chelsea 004E","E01002856",3.2,7.1
"Kensington and Chelsea 005A","E01002870",4.3,9.6
"Kensington and Chelsea 005B","E01002872",3.6,5.6
"Kensington and Chelsea 005C","E01002879",5.3,8.7
"Kensington and Chelsea 005D","E01002880",4.5,13.9
"Kensington and Chelsea 005E","E01002881",6.0,7.0
"Kensington and Chelsea 006A","E01002882",3.5,4.9
"Kensington and Chelsea 006B","E01002883",2.9,6.4
"Kensington and Chelsea 006C","E01002884",5.9,9.7
"Kensington and Chelsea 006D","E01002885",2.6,8.0
"Kensington and Chelsea 006E","E01002886",1.0,5.6
"Kensington and Chelsea 007A","E01002833",2.6,7.9
"Kensington and Chelsea 007B","E01002871",3.2,4.4
"Kensington and Chelsea 007C","E01002873",3.9,4.0
"Kensington and Chelsea 007D","E01002874",3.3,9.3
"Kensington and Chelsea 007E","E01002875",2.5,4.4
"Kensington and Chelsea 008A","E01002824",4.4,7.3
"Kensington and Chelsea 008B","E01002825",5.8,7.8
"Kensington and Chelsea 008C","E01002826",2.5,6.4
"Kensington and Chelsea 008D","E01002827",3.0,8.7
"Kensington and Chelsea 008E","E01002828",2.9,3.9
"Kensington and Chelsea 009A","E01002864",5.5,7.3
"Kensington and Chelsea 009B","E01002866",5.6,6.9
"Kensington and Chelsea 009C","E01002867",3.8,7.6
"Kensington and Chelsea 009D","E01002868",3.0,3.9
"Kensington and Chelsea 009E","E01002869",3.2,6.7
"Kensington and Chelsea 010A","E01002887",3.3,10.9
"Kensington and Chelsea 010B","E01002889",1.5,14.4
"Kensington and Chelsea 010C","E01002890",4.8,3.8
"Kensington and Chelsea 010D","E01002891",4.1,8.4
"Kensington and Chelsea 010E","E01002892",3.2,12.2
"Kensington and Chelsea 011A","E01002813",3.1,6.5
"Kensington and Chelsea 011B","E01002815",2.1,11.6
"Kensington and Chelsea 011C","E01002816",3.1,7.4
"Kensington and Chelsea 011D","E01002817",3.6,6.2
"Kensington and Chelsea 011E","E01002865",4.0,8.4
"Kensington and Chelsea 012A","E01002818",2.5,17.4
"Kensington and Chelsea 012B","E01002819",3.6,5.9
"Kensington and Chelsea 012C","E01002859",3.5,8.2
"Kensington and Chelsea 012D","E01002860",2.6,6.2
"Kensington and Chelsea 012E","E01002863",3.3,4.9
"Kensington and Chelsea 013A","E01002812",3.1,10.3
"Kensington and Chelsea 013B","E01002834",3.5,7.2
"Kensington and Chelsea 013C","E01002839",3.2,11.8
"Kensington and Chelsea 013D","E01002850",2.5,17.2
"Kensington and Chelsea 013E","E01002888",4.7,20.7
"Kensington and Chelsea 014A","E01002821",3.1,10.6
"Kensington and Chelsea 014B","E01002823",4.8,8.6
"Kensington and Chelsea 014C","E01002858",3.2,8.7
"Kensington and Chelsea 014D","E01002861",4.3,4.0
"Kensington and Chelsea 014E","E01002862",2.5,12.6
"Kensington and Chelsea 015A","E01002814",4.3,9.7
"Kensington and Chelsea 015B","E01002847",1.9,14.0
"Kensington and Chelsea 015C","E01002848",3.0,9.8
"Kensington and Chelsea 015D","E01002851",2.8,12.9
"Kensington and Chelsea 016C","E01002835",2.5,12.6
"Kensington and Chelsea 016D","E01002836",4.2,7.1
"Kensington and Chelsea 016E","E01002837",3.3,7.5
"Kensington and Chelsea 016F","E01035713",3.1,11.1
"Kensington and Chelsea 017A","E01002846",2.9,21.8
"Kensington and Chelsea 017B","E01002849",3.8,9.2
"Kensington and Chelsea 017C","E01002893",2.0,12.1
"Kensington and Chelsea 017D","E01002894",5.0,14.7
"Kensington and Chelsea 017E","E01002898",6.4,11.9
"Kensington and Chelsea 018A","E01002899",3.3,7.3
"Kensington and Chelsea 018B","E01002900",2.0,3.6
"Kensington and Chelsea 018C","E01002901",2.1,4.7
"Kensington and Chelsea 018D","E01002902",2.0,6.5
"Kensington and Chelsea 018E","E01002903",4.3,5.9
"Kensington and Chelsea 019A","E01002844",2.3,6.3
"Kensington and Chelsea 019B","E01002845",2.4,9.3
"Kensington and Chelsea 019C","E01002910",5.8,5.7
"Kensington and Chelsea 019D","E01002911",2.3,5.4
"Kensington and Chelsea 019E","E01002914",2.4,7.6
"Kensington and Chelsea 020C","E01002896",5.9,5.4
"Kensington and Chelsea 020D","E01002897",2.3,11.8
"Kensington and Chelsea 020E","E01002912",2.0,10.2
"Kensington and Chelsea 020F","E01035714",3.6,13.0
"Kensington and Chelsea 021A","E01002840",3.1,6.7
"Kensington and Chelsea 021B","E01002841",2.4,6.5
"Kensington and Chelsea 021C","E01002842",6.6,7.4
"Kensington and Chelsea 021D","E01002843",3.9,7.5
"Kensington and Chelsea 021E","E01002913",3.6,7.0
"Kingston upon Thames 001A","E01003006",4.9,4.1
"Kingston upon Thames 001B","E01003007",4.8,4.2
"Kingston upon Thames 001C","E01003008",4.6,3.7
"Kingston upon Thames 001D","E01003009",4.7,3.5
"Kingston upon Thames 001E","E01003010",5.6,3.9
"Kingston upon Thames 002A","E01002952",6.6,3.9
"Kingston upon Thames 002B","E01002953",5.2,6.3
"Kingston upon Thames 002C","E01002955",5.5,7.5
"Kingston upon Thames 002D","E01002956",8.2,8.1
"Kingston upon Thames 002E","E01002959",5.4,3.4
"Kingston upon Thames 003A","E01002935",2.7,6.5
"Kingston upon Thames 003B","E01002938",4.2,2.7
"Kingston upon Thames 003C","E01002951",3.3,3.4
"Kingston upon Thames 003D","E01002954",2.8,5.8
"Kingston upon Thames 003E","E01002957",5.7,11.4
"Kingston upon Thames 004A","E01002933",4.2,5.3
"Kingston upon Thames 004B","E01002934",4.8,3.4
"Kingston upon Thames 004D","E01002937",4.0,3.5
"Kingston upon Thames 004E","E01003011",3.2,3.8
"Kingston upon Thames 004G","E01033569",4.1,7.3
"Kingston upon Thames 004H","E01034576",3.3,5.7
"Kingston upon Thames 004I","E01034577",3.1,6.6
"Kingston upon Thames 005A","E01002964",8.8,18.5
"Kingston upon Thames 005B","E01002969",6.8,12.3
"Kingston upon Thames 005C","E01002971",3.4,7.6
"Kingston upon Thames 005D","E01002972",3.1,10.5
"Kingston upon Thames 005E","E01002974",5.3,10.1
"Kingston upon Thames 006A","E01002932",7.5,12.4
"Kingston upon Thames 006B","E01002960",4.7,4.7
"Kingston upon Thames 006C","E01002962",6.4,5.8
"Kingston upon Thames 006D","E01002970",5.2,7.9
"Kingston upon Thames 006E","E01002973",7.6,8.3
"Kingston upon Thames 007A","E01002929",4.2,3.8
"Kingston upon Thames 007B","E01002930",4.1,5.2
"Kingston upon Thames 007C","E01002931",3.8,3.5
"Kingston upon Thames 007D","E01002963",3.4,4.7
"Kingston upon Thames 007E","E01002985",4.2,5.6
"Kingston upon Thames 008A","E01002927",4.6,5.2
"Kingston upon Thames 008B","E01002928",3.0,5.0
"Kingston upon Thames 008C","E01002958",3.4,3.6
"Kingston upon Thames 008D","E01002961",5.3,4.4
"Kingston upon Thames 008E","E01002986",3.4,5.0
"Kingston upon Thames 009A","E01002965",4.6,18.1
"Kingston upon Thames 009B","E01002967",2.0,6.9
"Kingston upon Thames 009C","E01002968",4.6,20.9
"Kingston upon Thames 009D","E01002990",1.2,7.0
"Kingston upon Thames 009E","E01002991",2.7,6.5
"Kingston upon Thames 010A","E01002922",2.9,5.2
"Kingston upon Thames 010B","E01002926",4.7,4.9
"Kingston upon Thames 010C","E01002966",4.0,10.4
"Kingston upon Thames 010D","E01002992",16.5,21.3
"Kingston upon Thames 011A","E01002921",2.0,6.5
"Kingston upon Thames 011B","E01002987",1.7,7.9
"Kingston upon Thames 011C","E01002988",10.6,16.0
"Kingston upon Thames 011D","E01002989",1.9,3.8
"Kingston upon Thames 012A","E01002975",4.8,6.7
"Kingston upon Thames 012B","E01002977",5.1,5.2
"Kingston upon Thames 012C","E01002980",4.4,7.3
"Kingston upon Thames 012D","E01002981",5.8,5.4
"Kingston upon Thames 012E","E01002984",4.0,4.8
"Kingston upon Thames 013A","E01002923",4.7,10.8
"Kingston upon Thames 013B","E01002925",2.6,5.2
"Kingston upon Thames 013C","E01002993",1.7,3.5
"Kingston upon Thames 013D","E01002995",2.6,3.9
"Kingston upon Thames 013E","E01002999",2.8,6.8
"Kingston upon Thames 014A","E01002915",5.1,5.3
"Kingston upon Thames 014B","E01002916",5.2,6.3
"Kingston upon Thames 014C","E01002917",4.6,5.5
"Kingston upon Thames 014D","E01002920",4.3,3.6
"Kingston upon Thames 014E","E01002924",4.8,4.6
"Kingston upon Thames 015A","E01002976",4.1,4.4
"Kingston upon Thames 015B","E01002978",3.4,4.5
"Kingston upon Thames 015C","E01002979",4.0,5.9
"Kingston upon Thames 015D","E01002982",3.6,5.2
"Kingston upon Thames 015E","E01002983",4.4,5.0
"Kingston upon Thames 016A","E01002994",2.3,4.4
"Kingston upon Thames 016B","E01002996",4.4,4.4
"Kingston upon Thames 016C","E01002997",3.8,3.3
"Kingston upon Thames 016D","E01002998",3.8,4.5
"Kingston upon Thames 016E","E01003002",3.2,4.2
"Kingston upon Thames 017A","E01002918",4.7,6.7
"Kingston upon Thames 017B","E01002919",5.1,8.4
"Kingston upon Thames 017C","E01003000",4.4,4.1
"Kingston upon Thames 017D","E01003001",5.0,6.0
"Kingston upon Thames 017E","E01003003",5.1,6.7
"Kingston upon Thames 018A","E01002939",4.7,6.1
"Kingston upon Thames 018B","E01002941",3.8,5.3
"Kingston upon Thames 018C","E01002942",4.4,5.2
"Kingston upon Thames 018D","E01003004",4.4,5.4
"Kingston upon Thames 018E","E01003005",4.5,4.1
"Kingston upon Thames 019A","E01002944",3.9,5.2
"Kingston upon Thames 019B","E01002945",4.1,5.0
"Kingston upon Thames 019C","E01002946",2.9,4.1
"Kingston upon Thames 019D","E01002947",5.2,5.2
"Kingston upon Thames 020A","E01002940",4.2,5.6
"Kingston upon Thames 020B","E01002943",4.7,4.9
"Kingston upon Thames 020C","E01002948",5.3,6.4
"Kingston upon Thames 020D","E01002949",4.8,6.5
"Kingston upon Thames 020E","E01002950",2.8,5.0
"Lambeth 002A","E01003015",4.1,8.1
"Lambeth 002B","E01003108",4.2,5.7
"Lambeth 002C","E01003110",2.7,7.9
"Lambeth 002D","E01003111",5.2,8.7
"Lambeth 002E","E01003112",3.4,6.8
"Lambeth 003A","E01003101",5.0,9.4
"Lambeth 003B","E01003105",4.0,8.7
"Lambeth 003C","E01003106",3.7,7.9
"Lambeth 003D","E01003107",2.4,8.0
"Lambeth 003F","E01033862",3.4,19.1
"Lambeth 003G","E01033863",4.6,9.5
"Lambeth 004A","E01003102",2.5,12.0
