
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Barnet 018E","E01000227",4.7,5.0
"Barnet 019A","E01000299",3.2,6.4
"Barnet 019B","E01000300",2.3,3.7
"Barnet 019C","E01000302",2.8,5.1
"Barnet 019D","E01000317",3.1,4.9
"Barnet 019E","E01000318",6.0,4.5
"Barnet 019F","E01000323",2.3,6.0
"Barnet 020A","E01000276",4.6,3.3
"Barnet 020B","E01000278",3.3,3.5
"Barnet 020C","E01000301",3.6,3.8
"Barnet 020D","E01000303",3.6,3.8
"Barnet 020E","E01000304",3.3,5.2
"Barnet 021A","E01000130",4.7,6.5
"Barnet 021B","E01000132",5.1,7.0
"Barnet 021C","E01000133",5.3,5.2
"Barnet 021D","E01000234",2.4,4.5
"Barnet 021E","E01000235",6.1,8.9
"Barnet 022A","E01000156",4.5,3.7
"Barnet 022B","E01000157",3.3,4.0
"Barnet 022C","E01000163",4.1,5.1
"Barnet 022D","E01000164",5.1,6.1
"Barnet 022E","E01000165",5.2,5.2
"Barnet 022F","E01000315",5.7,6.6
"Barnet 023A","E01000197",2.5,5.0
"Barnet 023B","E01000295",3.0,5.1
"Barnet 023C","E01000296",2.3,4.8
"Barnet 023D","E01000298",2.7,5.4
"Barnet 024B","E01000127",4.4,6.0
"Barnet 024C","E01000128",6.0,6.3
"Barnet 024D","E01000129",5.1,7.1
"Barnet 024E","E01000131",2.9,7.2
"Barnet 024F","E01000134",5.5,8.3
"Barnet 024G","E01033913",7.1,5.0
"Barnet 024H","E01033914",5.0,6.4
"Barnet 025A","E01000198",4.4,5.1
"Barnet 025B","E01000199",4.3,4.2
"Barnet 025C","E01000204",3.9,5.0
"Barnet 025D","E01000259",4.5,5.5
"Barnet 025E","E01000260",3.2,6.0
"Barnet 026A","E01000126",5.8,8.9
"Barnet 026B","E01000151",7.8,5.2
"Barnet 026C","E01000152",4.2,6.3
"Barnet 026D","E01000153",6.1,6.1
"Barnet 026E","E01000154",4.2,7.7
"Barnet 027A","E01000176",6.5,9.3
"Barnet 027B","E01000178",4.8,4.7
"Barnet 027C","E01000184",5.8,9.6
"Barnet 027D","E01000297",3.2,4.7
"Barnet 027E","E01000316",4.2,4.6
"Barnet 027F","E01000319",4.6,3.6
"Barnet 028A","E01000196",1.7,4.8
"Barnet 028B","E01000200",3.6,4.0
"Barnet 028C","E01000201",5.3,4.7
"Barnet 028D","E01000202",3.5,5.7
"Barnet 028E","E01000203",5.1,6.6
"Barnet 029A","E01000177",3.1,3.1
"Barnet 029B","E01000179",2.5,3.5
"Barnet 029C","E01000180",3.7,4.2
"Barnet 029D","E01000181",2.9,3.7
"Barnet 029E","E01000182",3.9,4.0
"Barnet 029F","E01000185",5.7,5.8
"Barnet 031A","E01000239",3.3,9.6
"Barnet 031B","E01000240",4.0,7.6
"Barnet 031C","E01000241",4.1,6.2
"Barnet 031D","E01000309",3.6,7.2
"Barnet 032A","E01000237",4.5,9.1
"Barnet 032B","E01000242",4.9,5.5
"Barnet 032C","E01000243",3.3,12.2
"Barnet 032D","E01000244",5.9,12.4
"Barnet 032E","E01000245",4.8,8.7
"Barnet 032F","E01000314",4.2,10.5
"Barnet 033A","E01000183",3.2,3.1
"Barnet 033B","E01000206",5.4,4.4
"Barnet 033C","E01000207",3.9,3.7
"Barnet 033D","E01000208",3.4,3.6
"Barnet 033E","E01000210",4.6,3.5
"Barnet 033F","E01000213",6.1,5.8
"Barnet 034A","E01000236",3.8,8.3
"Barnet 034B","E01000238",4.8,11.3
"Barnet 034C","E01000310",3.4,7.1
"Barnet 034D","E01000311",5.4,6.4
"Barnet 035A","E01000205",3.0,4.1
"Barnet 035B","E01000209",2.5,3.1
"Barnet 035C","E01000211",3.8,6.3
"Barnet 035D","E01000212",3.9,4.3
"Barnet 035E","E01000216",4.2,6.4
"Barnet 035F","E01000217",4.6,5.3
"Barnet 036A","E01000150",4.6,6.2
"Barnet 036B","E01000305",4.3,5.7
"Barnet 036C","E01000306",2.5,6.6
"Barnet 036D","E01000308",2.6,7.8
"Barnet 036E","E01000312",4.2,5.5
"Barnet 036F","E01000313",3.4,5.6
"Barnet 037A","E01000145",5.2,6.9
"Barnet 037B","E01000215",5.7,5.5
"Barnet 037C","E01000218",5.1,6.6
"Barnet 037D","E01000219",3.6,6.4
"Barnet 037E","E01000220",3.1,6.0
"Barnet 037F","E01000225",6.0,4.4
"Barnet 038A","E01000135",3.6,5.8
"Barnet 038B","E01000136",3.8,3.6
"Barnet 038C","E01000144",3.1,5.9
"Barnet 038D","E01000146",3.2,8.5
"Barnet 038E","E01000214",3.5,4.6
"Barnet 039A","E01000141",3.8,8.4
"Barnet 039B","E01000221",5.8,6.0
"Barnet 039C","E01000223",5.2,5.9
"Barnet 039D","E01000307",3.8,7.2
"Barnet 040A","E01000138",4.0,5.3
"Barnet 040B","E01000142",3.8,5.9
"Barnet 040C","E01000222",4.8,7.4
"Barnet 040D","E01000224",5.4,5.6
"Barnet 041A","E01000137",4.6,5.6
"Barnet 041B","E01000139",3.5,5.8
"Barnet 041C","E01000140",3.4,6.4
"Barnet 041D","E01000143",5.6,8.1
"Barnet 042A","E01033915",4.0,6.4
"Barnet 042B","E01033916",4.7,8.6
"Barnet 042C","E01033917",2.5,9.1
"Barnet 042D","E01033918",9.1,15.2
"Barnet 042E","E01033919",2.3,9.1
"Barnet 042F","E01033920",2.4,7.7
"Barnet 043F","E01000147",4.5,7.2
"Barnet 043A","E01033921",3.3,7.2
"Barnet 043B","E01033922",3.3,8.0
"Barnet 043C","E01033923",6.2,6.0
"Barnet 043D","E01033924",4.7,7.8
"Barnet 043E","E01033925",5.0,7.6
"Bexley 001A","E01000466",5.7,6.2
"Bexley 001B","E01000467",5.1,5.4
"Bexley 001C","E01000468",7.5,5.6
"Bexley 001D","E01000469",4.4,4.8
"Bexley 002A","E01000416",6.9,6.0
"Bexley 002B","E01000418",4.7,6.4
"Bexley 002C","E01000422",6.1,5.3
"Bexley 002D","E01000464",6.9,6.3
"Bexley 002E","E01000465",3.9,6.2
"Bexley 002F","E01000470",4.4,7.0
"Bexley 003A","E01000333",4.2,4.8
"Bexley 003B","E01000335",3.8,6.3
"Bexley 003C","E01000336",4.6,6.6
"Bexley 003D","E01000337",4.7,5.4
"Bexley 003E","E01000338",4.8,5.2
"Bexley 004A","E01000403",3.7,4.7
"Bexley 004B","E01000404",4.5,5.8
"Bexley 004C","E01000405",6.2,6.7
"Bexley 004D","E01000408",4.9,6.5
"Bexley 005A","E01000332",3.5,5.9
"Bexley 005B","E01000402",4.9,5.4
"Bexley 005C","E01000406",3.5,5.7
"Bexley 005D","E01000407",3.7,4.2
"Bexley 006A","E01000334",4.0,5.2
"Bexley 006B","E01000417",3.6,4.8
"Bexley 006C","E01000419",3.1,5.3
"Bexley 006D","E01000420",4.8,4.7
"Bexley 006E","E01000442",4.6,5.4
"Bexley 007A","E01000437",4.8,6.9
"Bexley 007B","E01000438",5.3,5.0
"Bexley 007C","E01000439",5.1,6.1
"Bexley 007D","E01000440",4.8,6.0
"Bexley 007E","E01000441",5.8,4.9
"Bexley 008A","E01000373",4.2,4.4
"Bexley 008B","E01000429",3.6,5.6
"Bexley 008C","E01000430",6.2,6.4
"Bexley 008D","E01000431",6.0,7.5
"Bexley 008F","E01000433",5.8,6.4
"Bexley 008G","E01000434",6.2,7.5
"Bexley 008H","E01033789",4.3,5.0
"Bexley 008I","E01033790",5.1,5.8
"Bexley 009A","E01000356",3.4,3.8
"Bexley 009B","E01000357",5.0,6.1
