LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_2023,Shape_Length,Shape_Area
E01004049,Southwark 027D,Southwark,17.775848666967789,18.598103504693615,12.709125605822919,20.118354139090300,4,2425.186097234753561,107262.935058707880671
E01004050,Southwark 024D,Southwark,13.555392248293517,12.631189376391973,7.770364172656273,19.638512688896334,3,2528.257935268307392,184592.653644708188949
E01004051,Southwark 027E,Southwark,18.327332982956403,18.147279951126549,16.001846737697687,21.570118770471453,4,2066.395118134900713,151131.341859135165578
E01004052,Southwark 024E,Southwark,12.985957333655778,12.616255316538343,5.183596361965468,18.766631581890735,3,4008.788501194489072,172797.854277475853451
E01004053,Southwark 001C,Southwark,11.164354842235038,9.817794847502569,1.924668052986459,17.199729302233525,3,2796.029952098610011,233332.171605295123300
E01004054,Southwark 001D,Southwark,5.306565649257635,5.236547328792273,4.788414209554317,6.308988308909906,2,2297.641486813848132,249128.399719786917558
E01004055,Southwark 001E,Southwark,4.882794412587302,4.439187415975077,2.023506280234230,9.942748617233750,1b,2346.695863965848275,196953.814091174863279
E01004056,Southwark 008A,Southwark,4.949732429814073,4.823581373586210,3.888721679454702,6.119871835855443,1b,2946.988816615231826,342955.649733580008615
E01004057,Southwark 008B,Southwark,9.251792806062600,5.764617083926758,3.677616369101123,26.108089023773495,2,3752.471914745697632,243775.725263808621094
E01004058,Southwark 008C,Southwark,3.908344622170699,3.727746654217326,0.000000000000000,7.345013504789748,1b,2555.738889944838775,223558.377065447653877
E01004059,Southwark 008D,Southwark,18.282209210189382,20.915430464024329,2.201205739977283,29.267538181580438,4,3010.724853894275384,313634.649585984181613
E01004060,Southwark 008E,Southwark,17.000334549088436,15.313345133629928,10.248934596920819,26.442237013948073,4,2129.788673077242038,97790.392310349823674
E01004061,Southwark 025A,Southwark,20.523272548662440,18.275188023137709,7.669232095971266,38.967939843759694,5,3814.888368329887271,208838.114109553978778
E01004062,Southwark 025B,Southwark,25.371278346013383,24.049653762774582,19.048031795938119,33.969148515399702,6a,3989.971321495616849,166321.806765336485114
E01004063,Southwark 025C,Southwark,21.270120751530825,20.446638022311415,9.100919302262930,32.538379958817885,5,3239.532640521876147,175804.431915809022030
E01004064,Southwark 026D,Southwark,19.219888572856597,20.261070102092781,11.725572379560422,24.495104731611420,4,3256.670533368990618,163744.693330236710608
E01004065,Southwark 025D,Southwark,18.429722173487878,19.026752286170137,14.947727538448067,22.882876904461547,4,1851.673471685162895,112291.029280941700563
E01004066,Southwark 025E,Southwark,19.845663608618036,17.613324568779749,10.950110462657827,32.699730962997940,4,2211.221349649376862,142544.638257924001664
E01004067,Southwark 022E,Southwark,32.817037673287807,32.927563044912262,18.231229471720212,41.623901385813419,6a,2785.208939578201353,232594.448319921270013
E01004068,Southwark 026E,Southwark,14.715541477507765,16.692895239584001,7.401744482181909,22.771845743355613,3,2952.388607810899884,187461.365026039711665
E01004069,Southwark 031A,Southwark,5.672404359055538,5.725510684328032,0.000000000000000,13.041664416997529,2,5289.951413265291194,917034.774701444199309
E01004070,Southwark 031B,Southwark,10.203328735154084,10.070441569354653,7.543175848838546,14.355590782624354,3,4135.863638929851732,321638.467912843916565
E01004071,Southwark 030D,Southwark,10.180852801715988,11.114809200416209,6.940397751332856,13.881866155615842,3,1790.437319098233502,125674.357810207176954
E01004072,Southwark 030E,Southwark,9.488848475560166,9.895374550417392,3.842586424593776,13.013346540480235,2,3521.222228533448288,281792.212723106204066
E01004073,Southwark 031C,Southwark,12.520511329027173,13.248330924606458,7.566609334411512,18.399569629189592,3,3581.181408256230952,199406.971293142356444
E01004074,Southwark 031D,Southwark,12.833876418363458,14.267748247717893,0.000000000000000,22.151911405393161,3,3394.544061181731195,353799.411386962688994
E01004075,Southwark 031E,Southwark,6.838964453040175,7.077527875189815,2.083563449721681,13.466390599851140,2,4930.179292384560540,588920.605490386136808
E01004076,Sutton 011A,Sutton,3.761360836169534,4.356833114591533,0.000000000000000,11.256710459327088,1b,10926.067459157844496,3431216.270515111740679
E01004077,Sutton 011B,Sutton,6.502305287998397,6.470416528495734,5.197319465857722,8.654673824591072,2,3331.397768897322749,264040.107180517923553
E01004078,Sutton 011C,Sutton,3.933867482228075,4.659165833363161,0.000000000000000,6.240649418848994,1b,3927.310011136724370,322657.517800546367653
E01004079,Sutton 011D,Sutton,4.212402351980208,4.783228404731332,0.000000000000000,6.282390842335298,1b,3366.317411718529002,320525.574126724619418
E01004080,Sutton 011E,Sutton,6.611070531485259,6.301074433169487,2.816304007092337,10.696573141809949,2,2781.611899868608816,295426.555456126981881
E01004081,Sutton 011F,Sutton,5.009992454828528,4.770148867815703,3.905113073431218,7.360271683808111,2,3100.366274897943185,170069.655526937975083
E01004082,Sutton 011G,Sutton,5.701134761778141,5.758941052226357,2.700173055068735,9.276671621180849,2,2404.329922988636099,175644.784089390857844
E01004083,Sutton 019A,Sutton,3.937386774644191,4.179255740071579,0.000000000000000,6.148531494048179,1b,3359.976236091360988,245762.830770416767336
E01004084,Sutton 024A,Sutton,3.410517940103447,3.486799936335631,0.000000000000000,5.623038932115414,1b,5974.415340131095945,508144.563787842751481
E01004085,Sutton 024B,Sutton,1.628731422559682,0.000000000000000,0.000000000000000,5.836497758176355,1a,6903.173089565932059,808871.948904584860429
